ISO3,crop_kcals_baseline_domestic_supply,crop_kcals_baseline_domestic_supply_year_1,crop_kcals_baseline_domestic_supply_year_2,crop_kcals_baseline_domestic_supply_year_3,crop_kcals_baseline_domestic_supply_year_4,crop_kcals_baseline_domestic_supply_year_5,crop_kcals_baseline_domestic_supply_year_6,crop_kcals_baseline_domestic_supply_year_7,crop_kcals_baseline_domestic_supply_year_8,crop_kcals_baseline_domestic_supply_year_9,crop_kcals_baseline_domestic_supply_year_10
PRT,5744744.750297713,1170067.8520978435,666614.5759283056,463837.64432864473,826992.3955535638,1099857.4365281202,1773983.0993359534,2635798.9382636407,3499211.8660988845,3872332.2567307763,4242864.628335467
PRY,10926072.554684188,11806616.697405275,2539687.249931398,1365907.8427441914,1477904.4819047558,1679951.7074275068,2087488.7318683222,3809403.5483223214,4414001.170949638,5777229.25582326,7495761.506105737
QAT,643525.7344845324,433883.6326737691,237668.29210337347,235279.14258855474,241062.69152218886,230297.51335171988,244123.22365980604,299636.51724930445,287526.1217809304,494853.9998889037,442132.22760024224
ROU,13980260.392877055,204150.99530387478,83336.0518340509,51608.34610614133,61699.31246121778,175149.45564405742,3192557.6009640326,4208412.135837603,3568061.683651504,9096462.033562955,3855934.976672929
RUS,102811303.95967665,1695157.417342281,517627.22204284975,266922.24862756033,403799.58320287714,556810.480994779,3214509.1410693917,9216146.190712642,22879017.013811827,48304998.35955922,58064308.51589826
RWA,2544986.5478842724,1989683.2737406355,649006.7764093012,889337.1963669613,577849.1039732073,3337.6919212110733,1024285.9146639527,914050.6398201826,436190.3184576956,756919.5647997675,1060160.8227900262
SAU,15521279.571957938,5465651.82734287,3931184.717298564,3577286.294645336,5190315.435184649,4582064.677275743,6005869.60803603,6460523.009776069,8044731.615520249,9550124.397391979,10378334.972197691
SDN,12499124.484896727,7469921.687197218,2249058.7038689386,1788570.715514492,2643328.3353743674,3764732.133386052,5957351.5804565875,10085738.660951797,13558839.283794444,17545373.474604476,16927230.380405474
SEN,6462303.379180443,5623177.862602416,3670784.9483767753,3014660.983789501,2662497.9060521014,2988385.9889949053,4008330.390542521,5091159.979769286,5386223.24851313,6970218.654713751,6151876.901918416
SGP,671354.8438784819,390896.8523969146,154284.86138905116,137836.59697001564,120937.49954175638,139217.5998363492,164169.7299125525,233125.546804092,291598.0098851371,431459.20695788553,517777.2355811963
SLE,1684572.3750687956,1633091.662732384,341291.33147179696,126874.88891805786,133212.1370902399,226309.66910121636,349705.6066031805,683438.3885343743,930096.0174278666,1046111.69740242,1390826.4292289338
SLV,2451133.9660259807,1163236.0931655662,328992.41373836657,243143.23649468948,332483.3412229487,377636.5357927807,906734.40363645,1809058.9766366077,2188581.792130949,2858370.7790869763,2948900.90080337
SOM,479747.713208926,325540.4501483791,443588.10114059265,394236.6154745204,341149.3821239875,401994.2048910696,349774.5695216041,471961.33057803666,588729.7798844178,577785.4219507559,919312.250211339
SRB,8130482.795045323,7636.401244962868,4044.436176540605,3636.648893293991,10983.442192008635,131344.0610271147,1756638.186053358,2560457.721050907,1901020.4897273327,5171690.70594159,2101063.706451712
