iso3,crop_reduction_year_1,crop_reduction_year_2,crop_reduction_year_3,crop_reduction_year_4,crop_reduction_year_5,crop_reduction_year_6,crop_reduction_year_7,crop_reduction_year_8,crop_reduction_year_9,crop_reduction_year_10
MUS,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
MEX,-88.06239234952479,-95.42464211564337,-96.1420466212182,-94.35811564709584,-93.02502545160202,-85.1054678472247,-72.77182438293718,-51.266011134774,-24.037777315593743,-8.84002868928907
MDA,-100.0,-100.0,-100.0,-99.99999999999996,-100.0,-82.74683728476805,-71.06491545815382,-74.15165558049304,-34.0440893957582,-50.61051684223117
MNG,-100.0,-100.0,-100.0,-100.0,-100.0,-99.16687074999712,-93.1447223780342,-35.67088702428462,17.92419752769422,-33.326214323883406
MAR,-83.64568382596535,-48.01663787538986,-48.01663787538986,-30.974685998952538,18.057873089655978,69.72164987080518,68.2466062382994,-21.45363304597233,-42.12017749510561,-33.70268508445315
MOZ,2.25870841974444,-65.69053733948283,-82.34420936971212,-85.43263262277637,-81.01936243768269,-67.1993336492557,-52.65201956994143,-41.16803529130928,-22.53259263066936,-4.83248904352334
NAM,-22.65700322888604,-71.053192096223,-98.85961995361366,-99.06007319960848,-97.7801504523037,-87.36924111591134,-77.87682280748946,-59.240449825398926,-39.56960238585216,-46.96610413380567
NPL,-79.43702730688187,-98.7873361695422,-96.98758720262714,-93.08330749950476,-89.05588136834308,-84.2803155329315,-71.61734688871441,-50.54663886084912,-40.04060696637828,-32.93004105541595
NZL,-41.82213234140813,-73.76756206996518,-73.76756206996518,-78.31239174173413,-74.77552127044657,-64.74844801858603,-50.33459380423791,-24.78418423580129,-15.75120300820097,-9.433544523537831
NIC,-17.19658130347784,-74.40877571716037,-93.87189048922669,-89.90777878937922,-83.13369683405817,-68.03892161187227,-40.22884549150757,-20.56094850748183,-3.23072985247142,-8.40606168179146
NER,-28.87272813002262,-82.21412417034122,-90.88109615944714,-78.48613998110751,-58.214338456824365,-46.33010479578645,-42.81398324278359,-2.47212733974768,12.22903245969234,12.827473282491436
NGA,-33.87724069282335,-79.84351529211561,-86.81552082177078,-86.31305647213023,-75.01235431275437,-68.87767780437662,-50.29029189632137,-35.10710369358271,-20.42874644234124,-2.63668721386263
MKD,-99.56517969221596,-100.0,-100.0,-95.6305539978879,-73.41117276004633,-16.4536727588757,-21.135896006961065,-53.63469271869289,-34.20219242902719,-50.60779576568524
